admonition_id,admonition_sha256,source_file,source_reference,type,lesson_ids,candidate_lesson_id,coverage_decision,editorial_status,technical_status,preview
GuidedTour/GuidedTour.xhtml#note-001,bb2a7107ed39c6e5e354c140f3f99b4a3aeda74ceaa9192dad50218ebec3cb80,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Simple-Values,note,swift.bindings.constants|swift.bindings.type-annotations|swift.output.string-interpolation,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Create a constant with an explicit type of Float and a value of 4 .
GuidedTour/GuidedTour.xhtml#note-002,3fec1d1297d535f4215e5bcb6c60952797d63858746bd8eab2c88c6190fe1207,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Simple-Values,note,swift.bindings.constants|swift.bindings.type-annotations|swift.output.string-interpolation,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Try removing the conversion to String from the last line. What error do you get?
GuidedTour/GuidedTour.xhtml#note-003,5fc7e644d8a905e4d6951592ee390528d348355650ec282432f15153acc47ff4,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Simple-Values,note,swift.bindings.constants|swift.bindings.type-annotations|swift.output.string-interpolation,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Use \() to include a floating-point calculation in a string and to include someone’s name in a greeting.
GuidedTour/GuidedTour.xhtml#note-004,665592fb7a0da59e7737a07fdcfcccdb21f01e256a0dac110659b1842fc64370,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,note,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Change optionalName to nil . What greeting do you get? Add an else clause that sets a different greeting if optionalName is nil .
GuidedTour/GuidedTour.xhtml#note-005,ab0e90399caba7331be8cd22a5f7218b96ed3cfbfc7a495c279c81fe55741b8f,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,note,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Try removing the default case. What error do you get?
GuidedTour/GuidedTour.xhtml#note-006,7a826f3b498162be65e7034681821ebeb4e5a83225f9df15a9462749631357e9,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,note,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Replace the _ with a variable name, and keep track of which kind of number was the largest."
GuidedTour/GuidedTour.xhtml#note-007,3b3329dccf43d51aac0722a07b9702fb78b12ab31694c09539c0fbdb16788e24,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Control-Flow,note,swift.conditionals.if-else|swift.loops.for-in|swift.switches.exhaustive,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Change the condition from m < 100 to m < 0 to see how while and repeat - while behave differently when the loop condition is already false.
GuidedTour/GuidedTour.xhtml#note-008,483ccb494d7803321fd4edc9c9a352b514515a51b70bba35d56bc1977f157964,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Functions-and-Closures,note,swift.closures.expression-syntax|swift.functions.define-call,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Remove the day parameter. Add a parameter to include today’s lunch special in the greeting.
GuidedTour/GuidedTour.xhtml#note-009,94475841f22c922ed0c71e8d4057bae58ad8d346ce65950c16186f40596ef117,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Functions-and-Closures,note,swift.closures.expression-syntax|swift.functions.define-call,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Rewrite the closure to return zero for all odd numbers.
GuidedTour/GuidedTour.xhtml#note-010,e22dee9e233380cfa9cf4d9d04a3d390f830885977a465c81a8e5aecdd4982ef,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Objects-and-Classes,note,swift.inheritance.subclass|swift.initialization.basic|swift.types.class-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Add a constant property with let , and add another method that takes an argument."
GuidedTour/GuidedTour.xhtml#note-011,94695e2e9d92259e7058ca2960615fd2eba9d49e5bb4a42bbea6d5c52c53af94,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Objects-and-Classes,note,swift.inheritance.subclass|swift.initialization.basic|swift.types.class-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Make another subclass of NamedShape called Circle that takes a radius and a name as arguments to its initializer. Implement an area() and a simpleDescription() method on the Circle class.
GuidedTour/GuidedTour.xhtml#note-012,6b44276cf66f84c6cf6270199e9155d3ee929d133dd859c0fb238848a3c12a08,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,note,swift.enums.syntax|swift.types.structure-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Write a function that compares two Rank values by comparing their raw values.
GuidedTour/GuidedTour.xhtml#note-013,4ffa143c7346f6b5ac348ec88fd0d152e274503178421e96af25c1f84e3c6a75,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,note,swift.enums.syntax|swift.types.structure-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Add a color() method to Suit that returns ""black"" for spades and clubs, and returns ""red"" for hearts and diamonds."
GuidedTour/GuidedTour.xhtml#note-014,89647f4fcba8de69404412e5b15a6afa5ba9ac6de04c686fb82054433d125e80,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,note,swift.enums.syntax|swift.types.structure-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Add a third case to ServerResponse and to the switch.
GuidedTour/GuidedTour.xhtml#note-015,cafb5bda78f57e43d018b5a7b172c403a38e8b559d7beb3be29855211a67548a,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,note,swift.enums.syntax|swift.types.structure-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Write a function that returns an array containing a full deck of cards, with one card of each combination of rank and suit."
GuidedTour/GuidedTour.xhtml#note-016,65f12ace6b041d8391905f61a93c2313fc54d8d00b04dc3d60b810858ddb5431,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Protocols-and-Extensions,note,swift.extensions.syntax|swift.protocols.syntax,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Add another requirement to ExampleProtocol . What changes do you need to make to SimpleClass and SimpleStructure so that they still conform to the protocol?
GuidedTour/GuidedTour.xhtml#note-017,af92b1866be223ff314b084711c48b05c802a2756079cd53b5b67a05ae0d895b,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Protocols-and-Extensions,note,swift.extensions.syntax|swift.protocols.syntax,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Write an extension for the Double type that adds an absoluteValue property.
